date,week,weekday,day,work_hours
2022-01-01,1,6,day_off,0
2022-01-02,2,7,day_off,0
2022-01-03,2,1,workday,8
2022-01-04,2,2,workday,8
2022-01-05,2,3,workday,8
2022-01-06,2,4,workday,8
2022-01-07,2,5,workday,8
2022-01-08,2,6,day_off,0
2022-01-09,3,7,day_off,0
2022-01-10,3,1,workday,8
2022-01-11,3,2,workday,8
2022-01-12,3,3,workday,8
2022-01-13,3,4,workday,8
2022-01-14,3,5,workday,8
2022-01-15,3,6,day_off,0
2022-01-16,4,7,day_off,0
2022-01-17,4,1,workday,8
2022-01-18,4,2,workday,8
2022-01-19,4,3,workday,8
2022-01-20,4,4,workday,8
2022-01-21,4,5,workday,8
2022-01-22,4,6,day_off,0
2022-01-23,5,7,day_off,0
2022-01-24,5,1,workday,8
2022-01-25,5,2,workday,8
2022-01-26,5,3,workday,8
2022-01-27,5,4,workday,8
2022-01-28,5,5,workday,8
2022-01-29,5,6,day_off,0
2022-01-30,6,7,day_off,0
2022-01-31,6,1,workday,8
2022-02-01,6,2,workday,8
2022-02-02,6,3,workday,8
2022-02-03,6,4,workday,8
2022-02-04,6,5,workday,8
2022-02-05,6,6,day_off,0
2022-02-06,7,7,day_off,0
2022-02-07,7,1,workday,8
2022-02-08,7,2,workday,8
2022-02-09,7,3,workday,8
2022-02-10,7,4,workday,8
2022-02-11,7,5,workday,8
2022-02-12,7,6,day_off,0
2022-02-13,8,7,day_off,0
2022-02-14,8,1,workday,8
2022-02-15,8,2,workday,8
2022-02-16,8,3,workday,8
2022-02-17,8,4,workday,8
2022-02-18,8,5,workday,8
2022-02-19,8,6,day_off,0
2022-02-20,9,7,day_off,0
2022-02-21,9,1,workday,8
2022-02-22,9,2,workday,8
2022-02-23,9,3,workday,8
2022-02-24,9,4,workday,8
2022-02-25,9,5,workday,8
2022-02-26,9,6,day_off,0
2022-02-27,10,7,day_off,0
2022-02-28,10,1,workday,8
2022-03-01,10,2,workday,8
2022-03-02,10,3,workday,8
2022-03-03,10,4,workday,8
2022-03-04,10,5,workday,8
2022-03-05,10,6,day_off,0
2022-03-06,11,7,day_off,0
2022-03-07,11,1,workday,8
2022-03-08,11,2,workday,8
2022-03-09,11,3,workday,8
2022-03-10,11,4,workday,8
2022-03-11,11,5,workday,8
2022-03-12,11,6,day_off,0
2022-03-13,12,7,day_off,0
2022-03-14,12,1,workday,8
2022-03-15,12,2,workday,8
2022-03-16,12,3,workday,8
2022-03-17,12,4,workday,8
2022-03-18,12,5,workday,8
2022-03-19,12,6,day_off,0
2022-03-20,13,7,day_off,0
